,conf,detections,wrongDetections,wrongDetectionsP,IDs,wrongIds,wrongIdsP
0,0.0,1056033,149620,28.336235704755435,4093,2080,50.818470559491814
1,1.0,1048626,145837,27.81487393980313,4093,2080,50.818470559491814
2,2.0,1034777,138727,26.812926843174907,4093,2080,50.818470559491814
3,3.0,1028480,135407,26.33147946484132,4092,2080,50.83088954056696
4,4.0,1022431,132402,25.899449449400496,4091,2080,50.84331459300905
5,5.0,1016785,129590,25.490147868035034,4091,2080,50.84331459300905
6,6.0,1006182,124224,24.69215310947721,4091,2080,50.84331459300905
7,7.000000000000001,1001090,121625,24.29851461906522,4091,2080,50.84331459300905
8,8.0,996372,119294,23.945674908568286,4090,2079,50.831295843520785
9,9.0,991831,117030,23.5987784209205,4090,2079,50.831295843520785
10,10.0,983140,112730,22.932644384319627,4088,2079,50.85616438356164
11,11.0,978994,110676,22.610148785385814,4086,2078,50.8565834557024
12,12.0,975056,108745,22.305385536830705,4085,2078,50.86903304773563
13,13.0,967476,104977,21.70121015921842,4084,2078,50.88148873653281
14,14.000000000000002,963795,103151,21.405174336866242,4079,2076,50.894827163520475
15,15.0,960324,101440,21.126203239739922,4077,2076,50.91979396615158
16,16.0,956828,99757,20.851605513216587,4075,2075,50.920245398773
17,17.0,950109,96495,20.312406260755345,4073,2073,50.89614534740977
18,18.0,946971,95008,20.065661989649104,4071,2073,50.921149594694185
19,19.0,943832,93544,19.822171742428736,4070,2073,50.93366093366093
20,20.0,937889,90766,19.355382140104,4065,2071,50.947109471094706
21,21.0,934806,89315,19.108777650122057,4062,2069,50.93549975381585
22,22.0,931873,87964,18.878967412941464,4056,2066,50.93688362919132
23,23.0,929027,86622,18.647897208584897,4049,2065,51.00024697456163
24,24.0,923431,84052,18.204283806803108,4039,2062,51.05224065362714
25,25.0,920769,82851,17.996044610537496,4037,2062,51.07753282140203
26,26.0,918077,81608,17.77802951168584,4033,2061,51.1033969749566
27,27.0,915382,80404,17.567310696517957,4029,2058,51.07967237527923
28,28.000000000000004,910433,78167,17.1713898771244,4023,2056,51.106139696743725
29,28.999999999999996,907895,77053,16.97398928290166,4016,2055,51.170318725099605
30,30.0,905419,75957,16.77830926896829,4012,2052,51.14656031904287
31,31.0,900469,73839,16.400120381712195,4000,2047,51.175000000000004
32,32.0,898008,72796,16.21277316015002,3996,2046,51.201201201201194
33,33.0,895572,71761,16.025735507586212,3992,2046,51.252505010020045
34,34.0,893246,70784,15.848713568266747,3985,2045,51.31744040150564
35,35.0,888592,68814,15.488323099915371,3980,2042,51.30653266331658
36,36.0,886279,67819,15.304210073802945,3973,2039,51.321419582179715
37,37.0,884020,66903,15.136082894052173,3966,2035,51.311144730206756
38,38.0,881827,66024,14.974365720260325,3962,2035,51.36294800605755
39,39.0,877344,64130,14.61912317175475,3952,2032,51.417004048582996
40,40.0,875137,63260,14.45716499245261,3945,2030,51.457541191381495
41,41.0,872875,62323,14.27993698983245,3941,2028,51.45902055315909
42,42.0,868499,60504,13.93300395279672,3931,2026,51.539048588145505
43,43.0,866318,59648,13.770463040130759,3928,2026,51.57841140529531
