dec12,dec9,birthdate,later tagged
0,0,,
1,256,28.07.2016,
2,512,,03.08.2016
3,768,06.07.2016,
4,1024,22.08.2016,
5,1280,14.07.2016,
6,1536,19.07.2016,
7,1792,,
8,0,25.07.2016,
9,256,30.06.2016,
10,512,04.07.2016,
11,768,10.08.2016,
12,1024,11.07.2016,
13,1280,,
14,1536,,
15,1792,21.07.2016,
16,1,25.07.2016,
17,257,,
18,513,04.07.2016,
19,769,10.08.2016,
20,1025,13.07.2016,
21,1281,,
22,1537,,
23,1793,22.07.2016,
24,1,28.06.2016,
25,257,28.07.2016,
26,513,,
27,769,06.07.2016,
28,1025,22.08.2016,
29,1281,14.07.2016,
30,1537,20.07.2016,
31,1793,,
32,2,25.07.2016,
33,258,30.06.2016,
34,514,04.07.2016,
35,770,10.08.2016,
36,1026,13.07.2016,
37,1282,,
38,1538,,
39,1794,22.07.2016,
40,2,28.06.2016,
41,258,28.07.2016,
42,514,,
43,770,06.07.2016,
44,1026,15.08.2016,
45,1282,14.07.2016,
46,1538,20.07.2016,
47,1794,,
48,3,28.06.2016,
49,259,28.07.2016,
50,515,,
51,771,06.07.2016,
52,1027,15.08.2016,
53,1283,14.07.2016,
54,1539,20.07.2016,
55,1795,,
56,3,25.07.2016,
57,259,30.06.2016,
58,515,04.07.2016,
59,771,10.08.2016,
60,1027,12.07.2016,
61,1283,,
62,1539,,
63,1795,22.07.2016,
64,4,25.07.2016,
65,260,30.06.2016,
66,516,04.07.2016,
67,772,10.08.2016,
68,1028,13.07.2016,
69,1284,,
70,1540,,
71,1796,22.07.2016,
72,4,28.06.2016,
73,260,28.07.2016,
74,516,,08.08.2016
75,772,06.07.2016,
76,1028,15.08.2016,
77,1284,14.07.2016,
78,1540,20.07.2016,
79,1796,,
80,5,,
81,261,28.07.2016,
82,517,02.08.2016,
83,773,06.07.2016,
84,1029,15.08.2016,
85,1285,14.07.2016,
86,1541,20.07.2016,
87,1797,,
88,5,25.07.2016,
89,261,01.07.2016,
90,517,04.07.2016,
91,773,10.08.2016,
92,1029,13.07.2016,
93,1285,,
94,1541,,
95,1797,22.07.2016,
96,6,,
97,262,28.07.2016,
98,518,02.08.2016,
99,774,06.07.2016,
100,1030,15.08.2016,
101,1286,14.07.2016,
102,1542,20.07.2016,
103,1798,,
104,6,25.07.2016,
105,262,01.07.2016,
106,518,04.07.2016,
107,774,10.08.2016,
108,1030,13.07.2016,
109,1286,,
110,1542,,
111,1798,22.07.2016,
112,7,25.07.2016,
113,263,30.06.2016,
114,519,04.07.2016,
115,775,10.08.2016,
116,1031,13.07.2016,
117,1287,,
118,1543,,
119,1799,22.07.2016,
120,7,28.06.2016,
121,263,28.07.2016,
122,519,02.08.2016,
123,775,06.07.2016,
124,1031,15.08.2016,
125,1287,14.07.2016,
126,1543,20.07.2016,
127,1799,,
128,8,25.07.2016,
129,264,01.07.2016,
130,520,04.07.2016,
131,776,,
132,1032,12.07.2016,
133,1288,,
134,1544,,
135,1800,22.07.2016,
136,8,28.06.2016,
137,264,28.07.2016,
138,520,02.08.2016,
139,776,06.07.2016,
140,1032,15.08.2016,
141,1288,14.07.2016,
142,1544,20.07.2016,
143,1800,,
144,9,28.06.2016,
145,265,28.07.2016,
146,521,02.08.2016,
147,777,06.07.2016,
148,1033,15.08.2016,
149,1289,14.07.2016,
150,1545,20.07.2016,
151,1801,,
152,9,25.07.2016,
153,265,01.07.2016,
154,521,04.07.2016,
155,777,,
156,1033,12.07.2016,
157,1289,,
158,1545,,
159,1801,22.07.2016,
160,10,28.06.2016,
161,266,28.07.2016,
162,522,02.08.2016,
163,778,06.07.2016,
164,1034,15.08.2016,
165,1290,14.07.2016,
166,1546,20.07.2016,
167,1802,,
168,10,,
169,266,30.06.2016,
170,522,04.07.2016,
171,778,10.08.2016,
172,1034,12.07.2016,
173,1290,,
174,1546,,
175,1802,22.07.2016,
176,11,25.07.2016,
177,267,30.06.2016,
178,523,04.07.2016,
179,779,10.08.2016,
180,1035,12.07.2016,
181,1291,,
182,1547,,
183,1803,22.07.2016,
184,11,28.06.2016,
185,267,28.07.2016,
186,523,02.08.2016,
187,779,06.07.2016,
188,1035,15.08.2016,
189,1291,14.07.2016,
190,1547,20.07.2016,
191,1803,,
192,12,28.06.2016,
193,268,28.07.2016,
194,524,02.08.2016,
195,780,06.07.2016,
196,1036,15.08.2016,
197,1292,14.07.2016,
198,1548,20.07.2016,
199,1804,,
200,12,25.07.2016,
201,268,01.07.2016,
202,524,04.07.2016,
203,780,10.08.2016,
204,1036,12.07.2016,
205,1292,,
206,1548,,
207,1804,22.07.2016,
208,13,25.07.2016,
209,269,01.07.2016,
210,525,04.07.2016,
211,781,10.08.2016,
212,1037,12.07.2016,
213,1293,,
214,1549,,
215,1805,22.07.2016,
216,13,28.06.2016,
217,269,28.07.2016,
218,525,02.08.2016,
219,781,06.07.2016,
220,1037,15.08.2016,
221,1293,14.07.2016,
222,1549,20.07.2016,
223,1805,,
224,14,25.07.2016,
225,270,01.07.2016,
226,526,04.07.2016,
227,782,10.08.2016,
228,1038,12.07.2016,
229,1294,,
230,1550,,
231,1806,22.07.2016,
232,14,28.06.2016,
233,270,28.07.2016,
234,526,02.08.2016,
235,782,06.07.2016,
236,1038,15.08.2016,
237,1294,14.07.2016,
238,1550,20.07.2016,
239,1806,,
240,15,28.06.2016,
241,271,28.07.2016,
242,527,02.08.2016,
243,783,06.07.2016,
244,1039,15.08.2016,
245,1295,14.07.2016,
246,1551,20.07.2016,
247,1807,,
248,15,25.07.2016,
249,271,30.06.2016,
250,527,04.07.2016,
251,783,10.08.2016,
252,1039,12.07.2016,
253,1295,,
254,1551,,
255,1807,22.07.2016,
256,16,25.07.2016,
257,272,30.06.2016,
258,528,04.07.2016,
259,784,10.08.2016,
260,1040,12.07.2016,
261,1296,,
262,1552,,
263,1808,22.07.2016,
264,16,28.06.2016,
265,272,28.07.2016,
266,528,02.08.2016,
267,784,06.07.2016,
268,1040,15.08.2016,
269,1296,14.07.2016,
270,1552,20.07.2016,
271,1808,,
272,17,28.06.2016,
273,273,29.07.2016,
274,529,02.08.2016,
275,785,06.07.2016,
276,1041,15.08.2016,
277,1297,14.07.2016,
278,1553,20.07.2016,
279,1809,,
280,17,25.07.2016,
281,273,01.07.2016,
282,529,04.07.2016,
283,785,10.08.2016,
284,1041,12.07.2016,
285,1297,,
286,1553,,
287,1809,22.07.2016,
288,18,28.06.2016,
289,274,29.07.2016,
290,530,02.08.2016,
291,786,06.07.2016,
292,1042,15.08.2016,
293,1298,14.07.2016,
294,1554,20.07.2016,
295,1810,,
296,18,25.07.2016,
297,274,30.06.2016,
298,530,04.07.2016,
299,786,10.08.2016,
300,1042,12.07.2016,
301,1298,,
302,1554,,
303,1810,22.07.2016,
304,19,25.07.2016,
305,275,30.06.2016,
306,531,04.07.2016,
307,787,10.08.2016,
308,1043,12.07.2016,
309,1299,,
310,1555,,
311,1811,22.07.2016,
312,19,28.06.2016,
313,275,29.07.2016,
314,531,02.08.2016,
315,787,06.07.2016,
316,1043,15.08.2016,
317,1299,14.07.2016,
318,1555,20.07.2016,
319,1811,,
320,20,,
321,276,29.07.2016,
322,532,02.08.2016,
323,788,06.07.2016,
324,1044,15.08.2016,
325,1300,14.07.2016,
326,1556,20.07.2016,
327,1812,,
328,20,25.07.2016,
329,276,01.07.2016,
330,532,04.07.2016,
331,788,10.08.2016,
332,1044,12.07.2016,
333,1300,,
334,1556,,
335,1812,22.07.2016,
336,21,25.07.2016,
337,277,30.06.2016,
338,533,04.07.2016,
339,789,10.08.2016,
340,1045,12.07.2016,
341,1301,,
342,1557,,
343,1813,22.07.2016,
344,21,28.06.2016,
345,277,29.07.2016,
346,533,02.08.2016,
347,789,06.07.2016,
348,1045,15.08.2016,
349,1301,14.07.2016,
350,1557,20.07.2016,
351,1813,,
352,22,25.07.2016,
353,278,30.06.2016,
354,534,04.07.2016,
355,790,10.08.2016,
356,1046,12.07.2016,
357,1302,,
358,1558,,
359,1814,22.07.2016,
360,22,28.06.2016,
361,278,29.07.2016,
362,534,02.08.2016,
363,790,06.07.2016,
364,1046,15.08.2016,
365,1302,14.07.2016,
366,1558,20.07.2016,
367,1814,,
368,23,,
369,279,29.07.2016,
370,535,02.08.2016,
371,791,06.07.2016,
372,1047,15.08.2016,
373,1303,14.07.2016,
374,1559,20.07.2016,
375,1815,,
376,23,25.07.2016,
377,279,30.06.2016,
378,535,04.07.2016,
379,791,10.08.2016,
380,1047,12.07.2016,
381,1303,,
382,1559,,
383,1815,22.07.2016,
384,24,28.06.2016,
385,280,29.07.2016,
386,536,02.08.2016,
387,792,06.07.2016,
388,1048,15.08.2016,
389,1304,14.07.2016,
390,1560,20.07.2016,
391,1816,,
392,24,25.07.2016,
393,280,30.06.2016,
394,536,04.07.2016,
395,792,10.08.2016,
396,1048,12.07.2016,
397,1304,,
398,1560,,
399,1816,22.07.2016,
400,25,25.07.2016,
401,281,30.06.2016,
402,537,04.07.2016,
403,793,10.08.2016,
404,1049,12.07.2016,
405,1305,,
406,1561,,
407,1817,22.07.2016,
408,25,28.06.2016,
409,281,29.07.2016,
410,537,02.08.2016,
411,793,06.07.2016,
412,1049,15.08.2016,
413,1305,14.07.2016,
414,1561,20.07.2016,
415,1817,,
416,26,25.07.2016,
417,282,30.06.2016,
418,538,04.07.2016,
419,794,10.08.2016,
420,1050,12.07.2016,
421,1306,,
422,1562,,
423,1818,22.07.2016,
424,26,,
425,282,29.07.2016,
426,538,02.08.2016,
427,794,06.07.2016,
428,1050,15.08.2016,
429,1306,14.07.2016,
430,1562,20.07.2016,
431,1818,,
432,27,28.06.2016,
433,283,29.07.2016,
434,539,02.08.2016,
435,795,06.07.2016,
436,1051,15.08.2016,
437,1307,14.07.2016,
438,1563,20.07.2016,
439,1819,,
440,27,25.07.2016,
441,283,30.06.2016,
442,539,04.07.2016,
443,795,10.08.2016,
444,1051,12.07.2016,
445,1307,,
446,1563,,
447,1819,22.07.2016,
448,28,25.07.2016,
449,284,30.06.2016,
450,540,04.07.2016,
451,796,10.08.2016,
452,1052,12.07.2016,
453,1308,,
454,1564,,
455,1820,22.07.2016,
456,28,28.06.2016,
457,284,29.07.2016,
458,540,02.08.2016,
459,796,06.07.2016,
460,1052,15.08.2016,
461,1308,14.07.2016,
462,1564,20.07.2016,
463,1820,,
464,29,28.06.2016,
465,285,29.07.2016,
466,541,02.08.2016,
467,797,06.07.2016,
468,1053,15.08.2016,
469,1309,14.07.2016,
470,1565,20.07.2016,
471,1821,,
472,29,25.07.2016,
473,285,30.06.2016,
474,541,04.07.2016,
475,797,10.08.2016,
476,1053,12.07.2016,
477,1309,,
